label,common_name,scientific_name,diel_signal,diel_confidence,season_signal,season_confidence,habitat_signal,inference_notes,source_url
ninox_boobook,Southern Boobook,Ninox boobook,night,0.85,weak,0.20,woodland/open woodland,Nocturnal owl; strong time-of-day signal but weak seasonal signal.,https://australian.museum/learn/animals/birds/southern-boobook/
laughing_kookaburra,Laughing Kookaburra,Dacelo novaeguineae,day_dawn_dusk,0.55,weak,0.20,woodland/open forest/suburban,Common vocal species across the day; useful as species evidence but not a strong season marker.,https://birdlife.org.au/bird-profiles/laughing-kookaburra/
rhipidura_leucophrys,Willie Wagtail,Rhipidura leucophrys,day,0.60,weak,0.20,open woodland/wetland edges/parks,Common active daytime species; limited season inference from sound alone.,https://birdlife.org.au/bird-profiles/willie-wagtail/
psophodes_cristatus,Chirruping Wedgebill,Psophodes cristatus,day,0.55,weak,0.20,arid shrubland/mallee,Habitat is more informative than season; use cautiously for time inference.,https://birdlife.org.au/bird-profiles/chirruping-wedgebill/
cincloramphus_mathewsi,Rufous Songlark,Cincloramphus mathewsi,day,0.60,spring_summer,0.45,grassland/open woodland,"Song is more prominent in breeding season, so seasonal evidence is moderate rather than definitive.",https://birdlife.org.au/bird-profiles/rufous-songlark/
podargus_strigoides,Tawny Frogmouth,Podargus strigoides,night,0.80,weak,0.20,woodland/open forest/suburban,Nocturnal species; strong night signal but weak season signal.,https://australian.museum/learn/animals/birds/tawny-frogmouth/
red_capped_robin,Red-capped Robin,Petroica goodenovii,day,0.60,weak,0.20,arid woodland/shrubland,Diurnal species; habitat signal is more reliable than season from one detection.,https://birdlife.org.au/bird-profiles/red-capped-robin/
anas_superciliosa,Pacific Black Duck,Anas superciliosa,day_night,0.35,weak,0.15,wetland/waterbody,Waterbird calls indicate wetland context more than time or season.,https://birdlife.org.au/bird-profiles/pacific-black-duck/
australian_raven,Australian Raven,Corvus coronoides,day,0.55,weak,0.20,open woodland/farmland/urban,Common diurnal caller; weak season inference.,https://birdlife.org.au/bird-profiles/australian-raven/
peaceful_dove,Peaceful Dove,Geopelia placida,day,0.55,weak,0.20,open woodland/scrub/water edges,Diurnal species; call supports habitat/species observation more than seasonal inference.,https://birdlife.org.au/bird-profiles/peaceful-dove/
galah,Galah,Eolophus roseicapilla,day,0.55,weak,0.20,open woodland/grassland/urban,Common daytime flocking parrot; weak season inference.,https://birdlife.org.au/bird-profiles/galah/
crested_bellbird,Crested Bellbird,Oreoica gutturalis,day,0.60,weak,0.20,arid shrubland/mallee,Distinctive arid-zone species; habitat signal is stronger than time or season.,https://birdlife.org.au/bird-profiles/crested-bellbird/
rainbow_bee_eater,Rainbow Bee-eater,Merops ornatus,day,0.65,warm_season,0.50,open woodland/riverbanks/sandy areas,Day-active migratory species; warm-season signal is useful but should remain probabilistic.,https://birdlife.org.au/bird-profiles/rainbow-bee-eater/
