rank,species_common_name,species_scientific_name,species_slug,default_low_hz,default_high_hz,band_source,review_status,notes
1,Australian Raven,Corvus coronoides,australian_raven,500,3000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
2,Australian Ringneck,Barnardius zonarius,australian_ringneck,1500,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
3,Banded Lapwing,Vanellus tricolor,banded_lapwing,1000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
4,Barn Owl,Tyto alba,barn_owl,1500,2500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
5,Black-eared Cuckoo,Chrysococcyx osculans,black_eared_cuckoo,2500,3500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
6,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,1500,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
7,Black Honeyeater,Sugomel nigrum,black_honeyeater,3000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
8,Brown Falcon,Falco berigora,brown_falcon,1000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
9,Budgerigar,Melopsittacus undulatus,budgerigar,2000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
10,Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,chestnut_breasted_quail_thrush,2000,3500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
11,Chestnut-crowned Babbler,Pomatostomus ruficeps,chestnut_crowned_babbler,2000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
